"Project","Segment","SRG","S","CBO","DIT","ILCOM","LOC","LOD","NOM"
"AndroidDump",2,1,1,0.923076923076923,0,0,181,0.989010989,0.615384615384615
"xiss",2,1,1,3.42105263157895,0.842105263157895,0.368421052631579,3060,0.546498457736842,6.21052631578947
"DNSQuery",2,1,1,1.4,0,1,459,0.9166666666,4.8
"pmpp",2,1,1,0.666666666666667,0,0.833333333333333,264,0.777777777833333,2.5
"test-project",3,1,27,5.67465753424658,0.719178082191781,0.926369863013699,78781,0.661906389306507,7.06164383561644
"optimizeSpringHibernate",3,1,36,0.75,0,1.9375,534,1,5.25
"JIntegration",3,1,8,1.16666666666667,0.333333333333333,0.5,127,1,1.83333333333333
"2u6",3,1,8,2.36538461538462,0.615384615384615,0.923076923076923,1842,0.997596153846154,2.61538461538462
"NetSim",3,1,15,2.38461538461538,0,0.692307692307692,1355,0.826007326,3.69230769230769
"kangaroo",4,1,173,2.08974358974359,0.429487179487179,0.480769230769231,13687,0.650981307621795,4.33333333333333
"BarraCUDA",4,1,134,3.66666666666667,0.0952380952380952,0.571428571428571,1781,1,4.61904761904762
"qnotes",4,1,163,2.19047619047619,0,0.952380952380952,1906,0.329081632619048,4.47619047619048
"github-java-api",4,1,161,1.65,0.2,0.85,1757,0.63424388675,9.15
"JWHOISUTIL",4,1,140,0,0,2.5,1050,0.97619047625,8.25
"groovy-aop",5,1,203,2.64516129032258,0.593548387096774,1.18709677419355,17671,0.790016717483871,5.96129032258064
"OpenLayers-RAP-Widget",5,1,203,2.42622950819672,1.55737704918033,0.278688524590164,2117,0.326020488983607,2.18032786885246
"maven-yamlpom-plugin",5,1,203,1.95454545454545,0.272727272727273,1.04545454545455,1653,0.768127705636364,4.63636363636364
"tst9",5,1,204,0.571428571428571,0.142857142857143,0.571428571428571,282,0.502380952428571,2.28571428571429
"evdev-java",5,1,191,2.09090909090909,0.272727272727273,1,1693,0.408624204090909,7.72727272727273
"ereviewboard",6,1,283,3.11538461538462,0.423076923076923,0.903846153846154,4378,0.701259734692308,7.90384615384615
"Cloud-Stenography",6,1,355,2.86363636363636,0.462121212121212,0.84469696969697,17323,0.575883115477273,3.91666666666667
"hudson.irc.plugin.parser",6,1,352,1.72727272727273,0.0909090909090909,1.27272727272727,897,0.890548340545455,9.09090909090909
"TwitterFollow",6,1,278,0,0,0,122,0.857142857,6
"area51",6,1,301,1.41176470588235,0.0588235294117647,0.764705882352941,1588,0.683483999676471,4.70588235294118
"rapidandroid",7,2,547,3.14444444444444,0.111111111111111,0.888888888888889,11104,0.6524771267,4.38888888888889
"glug",7,2,442,2.51075268817204,0.532258064516129,0.752688172043011,17006,0.628842626887097,5.0752688172043
"android-squeezer",7,2,452,1,0,0.875,1151,0.88776881725,7.25
"standup-timer",7,2,448,0.133333333333333,0,0.733333333333333,1529,1,11.0666666666667
"mango",7,2,393,1.35714285714286,0.142857142857143,1.07142857142857,527,0.964285714285714,3.64285714285714
"picking",8,2,557,1.75862068965517,0,1.03448275862069,3116,0.690325670517241,4.24137931034483
"launchpad",8,2,625,1.28571428571429,0.428571428571429,1.14285714285714,1069,0.383033395142857,9.28571428571429
"Fudge-Java",8,2,588,4.57894736842105,0.194736842105263,0.852631578947368,20266,0.178582093189474,6.04210526315789
"yeslib",8,2,640,0.848920863309353,0.0719424460431655,0.690647482014389,12966,0.565179167244604,5.30215827338129
"jugm-p2d",8,2,568,0.666666666666667,0,0.333333333333333,237,0.866666666666667,2.66666666666667
"jchronic",9,2,856,5.08,0.72,0.386666666666667,3486,0.968057239053333,3.2
"intercept",9,2,863,0.641025641025641,0.102564102564103,0.461538461538462,5598,0.993644532102564,3.76068376068376
"qpar",9,2,847,2.83561643835616,0.452054794520548,1.05479452054795,8289,0.842178099424657,7.15068493150685
"fitnesse-maven-classpath",9,2,729,1.16666666666667,0,1.16666666666667,285,0.9259920635,8.16666666666667
"aspen",9,2,856,1.23076923076923,0.307692307692308,0.538461538461538,1451,0.515744489461539,8.38461538461539
"pocket-voa",10,2,947,2.41176470588235,0.470588235294118,0.411764705882353,5392,0.949545900294118,5.25490196078431
"reddit-is-fun",10,2,946,2.57575757575758,0.0757575757575758,0.560606060606061,8990,0.953554612151515,6.75757575757576
"cuke4duke",10,2,1028,1.69285714285714,0.35,0.514285714285714,7139,0.9837623884,2.62142857142857
"Contacts",10,2,1037,1.76923076923077,0.307692307692308,1.38461538461538,1052,0.453606649692308,5.30769230769231
"Android-AR-Kit",10,2,911,0.25,0,0.333333333333333,708,1,2.33333333333333
"liquids",11,2,1133,3.10344827586207,0.275862068965517,1.24137931034483,1692,1,4.20689655172414
"droid-fu",11,2,1181,2.2421875,0.3359375,0.5,13976,0.66913864640625,5.5
"eclipse-rcp ejb-client-sample",11,2,1203,2,0.348837209302326,0.86046511627907,1879,0.565503875976744,2.88372093023256
"SnarfNOAA",11,2,1187,1.69565217391304,0,1.47826086956522,1959,0.76086956526087,3.47826086956522
"maven-nxj-plugin",11,2,1159,0,0,0.5,129,0.8333333335,1.5
"browsermob-proxy",12,2,1389,4.64310954063604,0.773851590106007,1.24734982332155,96953,0.589054341446996,8.53003533568905
"cw-android",12,2,1327,0.783783783783784,0.027027027027027,0.198198198198198,5189,1,2.71171171171171
"wordsolver",12,2,1307,2.7741935483871,0,0.935483870967742,3517,0.936435070290323,4.80645161290323
"cw-advandroid",12,2,1412,0.674603174603175,0.0476190476190476,0.349206349206349,8640,0.983906525579365,3.65873015873016
"cal10n",12,2,1338,2.62745098039216,0.313725490196078,0.647058823529412,2474,0.803040913333333,3.19607843137255
"valkyrie",13,3,1574,3.50179211469534,0.46594982078853,0.792114695340502,24773,0.953955169781362,4.88530465949821
"vox-mail",13,3,1563,0.344827586206897,0,0.379310344827586,4494,0.709002352103448,5.79310344827586
"libjsms",13,3,1471,2.30769230769231,0.384615384615385,0.692307692307692,1044,0.790753690769231,4.69230769230769
"libsnmp",13,3,1521,5.36363636363636,0.204545454545455,0.818181818181818,2714,1,7.04545454545455
"JavaBeanstalkClient",13,3,1556,2,0.2,2,2305,0.7885416667,12.9
"threadedtc",14,3,1683,2.17948717948718,0,0.846153846153846,2588,0.805982905948718,3.79487179487179
"patchy",14,3,1648,1.77777777777778,0.222222222222222,0.666666666666667,824,0.944023569111111,6.88888888888889
"1xam",14,3,1687,1,0,1,843,0.829365079333333,7
"viper-toolkit",14,3,1790,5.27142857142857,0.862244897959184,0.853061224489796,132419,0.419269675237755,6.91326530612245
"Anki-Android",14,3,1762,2.64453125,0.42578125,0.859375,66368,0.61770386403125,9.53515625
"testdata-generator",15,3,1809,2.31506849315068,0.356164383561644,1.0958904109589,3500,0.708707502575342,4.02739726027397
"android-network-discovery",15,3,1964,2.82352941176471,0.176470588235294,0.676470588235294,4078,0.998529411764706,3.97058823529412
"Samples",15,3,1810,2.83296703296703,0.208791208791209,0.795604395604396,36510,0.74407173456044,6.28571428571429
"mino",15,3,1987,3.81818181818182,0.454545454545455,1.04545454545455,1039,1,5.04545454545455
"contactlist",15,3,1886,3.42857142857143,1.0952380952381,1.28571428571429,2438,0.274079081142857,5.52380952380952
"flickr-downloader",16,3,2053,1.4,0,1,758,0.3133333334,3.4
"fitnesse-ldap-authenticator",16,3,2159,1.25,0.25,1.25,350,1,7.5
"openengsb",16,3,2001,3.95333943275389,0.652333028362306,1.06038426349497,77278,0.753975110247027,5.77310155535224
